order_id,order_date,product,category,region,segment,gender,age_group,channel,quantity,unit_price,discount,revenue,cost,profit
ORD-11424,2022-01-02,Office Chair,Furniture,Central,Enterprise,Male,45-54,Retail,10,265.19,0.15,2254.12,1396.16,857.96
ORD-10541,2022-01-02,Headphones Elite,Electronics,South,Startup,Male,35-44,Online,18,305.19,0.1,4944.08,2360.43,2583.65
ORD-11139,2022-01-02,Office Chair,Furniture,East,Individual,Female,25-34,Partner,5,200.1,0.05,950.47,499.3,451.17
ORD-11786,2022-01-03,Wireless Mouse,Electronics,Central,SMB,Male,45-54,Retail,2,31.22,0.05,59.32,35.82,23.5
ORD-10593,2022-01-03,Monitor 27in,Electronics,South,Individual,Male,35-44,Partner,3,365.46,0.1,986.74,575.0,411.74
ORD-10844,2022-01-04,Standing Desk,Furniture,North,Startup,Male,35-44,Partner,10,324.75,0.2,2598.0,1292.41,1305.59
ORD-11627,2022-01-06,Monitor 27in,Electronics,Central,Enterprise,Male,45-54,Partner,6,421.31,0.15,2148.68,1004.44,1144.24
ORD-11688,2022-01-06,Monitor 27in,Electronics,North,SMB,Non-binary,35-44,Online,13,388.52,0.2,4040.61,1965.21,2075.4
ORD-11467,2022-01-07,Notebook Set,Stationery,East,Enterprise,Male,25-34,Online,8,10.99,0.1,79.13,54.7,24.43
ORD-11481,2022-01-09,Pen Collection,Stationery,East,Enterprise,Male,18-24,Online,4,18.37,0.0,73.48,41.69,31.79
ORD-10879,2022-01-11,Planner 2024,Stationery,West,Startup,Female,35-44,Online,12,32.8,0.05,373.92,205.85,168.07
ORD-10970,2022-01-11,Planner 2024,Stationery,North,Enterprise,Female,35-44,Partner,6,25.43,0.1,137.32,93.6,43.72
ORD-10858,2022-01-11,Wireless Mouse,Electronics,South,Enterprise,Male,55+,Retail,18,40.65,0.1,658.53,316.6,341.93
ORD-10229,2022-01-11,Office Chair,Furniture,West,Startup,Female,18-24,Online,10,261.18,0.1,2350.62,1117.86,1232.76
ORD-10676,2022-01-11,Standing Desk,Furniture,West,Startup,Non-binary,55+,Online,9,501.82,0.15,3838.92,2017.84,1821.08
ORD-11158,2022-01-11,Laptop Pro,Electronics,Central,Individual,Male,35-44,Direct Sales,14,1324.28,0.15,15758.93,9680.76,6078.17
ORD-10377,2022-01-12,Headphones Elite,Electronics,East,Startup,Male,25-34,Direct Sales,11,216.58,0.05,2263.26,1041.07,1222.19
ORD-11504,2022-01-14,Standing Desk,Furniture,North,Individual,Non-binary,35-44,Retail,16,626.83,0.05,9527.82,6182.89,3344.93
ORD-10473,2022-01-14,Laptop Pro,Electronics,East,Enterprise,Non-binary,25-34,Direct Sales,10,1790.64,0.05,17011.08,11294.17,5716.91
ORD-10413,2022-01-15,Wireless Mouse,Electronics,East,Individual,Female,25-34,Online,19,43.29,0.2,658.01,297.29,360.72
ORD-10448,2022-01-15,Monitor 27in,Electronics,East,Enterprise,Female,35-44,Retail,18,362.09,0.15,5539.98,3714.78,1825.2
ORD-11173,2022-01-15,Planner 2024,Stationery,East,SMB,Male,45-54,Online,2,28.64,0.15,48.69,32.46,16.23
ORD-11134,2022-01-17,Planner 2024,Stationery,North,Startup,Non-binary,18-24,Direct Sales,6,23.43,0.1,126.52,67.58,58.94
ORD-10717,2022-01-17,Headphones Elite,Electronics,West,Startup,Non-binary,35-44,Direct Sales,9,325.05,0.2,2340.36,1591.71,748.65
ORD-10265,2022-01-17,Wireless Mouse,Electronics,South,SMB,Non-binary,45-54,Online,11,53.6,0.15,501.16,312.48,188.68
ORD-10189,2022-01-19,Headphones Elite,Electronics,West,SMB,Non-binary,35-44,Online,10,241.99,0.0,2419.9,1650.65,769.25
ORD-11189,2022-01-20,Ergonomic Pillow,Furniture,Central,SMB,Non-binary,45-54,Direct Sales,19,61.49,0.0,1168.31,736.03,432.28
ORD-10435,2022-01-20,Headphones Elite,Electronics,South,SMB,Non-binary,25-34,Partner,6,205.38,0.05,1170.67,818.17,352.5
ORD-11045,2022-01-21,Pen Collection,Stationery,West,Enterprise,Male,25-34,Online,8,11.2,0.2,71.68,42.44,29.24
ORD-10061,2022-01-21,Standing Desk,Furniture,East,Startup,Female,35-44,Direct Sales,17,679.23,0.0,11546.91,5892.84,5654.07
ORD-10715,2022-01-21,Monitor 27in,Electronics,Central,Startup,Male,45-54,Retail,17,533.09,0.0,9062.53,4844.61,4217.92
ORD-11924,2022-01-21,Notebook Set,Stationery,East,Enterprise,Non-binary,25-34,Partner,11,24.47,0.0,269.17,177.36,91.81
ORD-10559,2022-01-22,Planner 2024,Stationery,South,Startup,Non-binary,25-34,Direct Sales,1,31.63,0.0,31.63,17.49,14.14
ORD-11119,2022-01-22,Standing Desk,Furniture,Central,SMB,Female,35-44,Retail,7,476.83,0.2,2670.25,1331.71,1338.54
ORD-11725,2022-01-23,Laptop Pro,Electronics,North,Individual,Non-binary,45-54,Online,18,1250.17,0.1,20252.75,10072.46,10180.29
ORD-11502,2022-01-24,Standing Desk,Furniture,South,Startup,Male,18-24,Direct Sales,19,463.66,0.1,7928.59,4842.42,3086.17
ORD-11887,2022-01-25,Laptop Pro,Electronics,East,Individual,Non-binary,55+,Direct Sales,9,1478.77,0.05,12643.48,5722.2,6921.28
ORD-10219,2022-01-25,Monitor 27in,Electronics,North,Enterprise,Non-binary,55+,Partner,1,408.83,0.1,367.95,214.86,153.09
ORD-10276,2022-01-26,Planner 2024,Stationery,North,Startup,Non-binary,25-34,Online,5,29.03,0.05,137.89,79.16,58.73
ORD-10358,2022-01-26,Headphones Elite,Electronics,West,Enterprise,Male,35-44,Direct Sales,17,291.88,0.2,3969.57,2504.57,1465.0
ORD-10507,2022-01-26,Office Chair,Furniture,North,SMB,Male,18-24,Direct Sales,15,274.41,0.15,3498.73,2049.82,1448.91
ORD-10990,2022-01-27,Standing Desk,Furniture,North,Enterprise,Female,18-24,Retail,7,487.26,0.15,2899.2,1440.84,1458.36
ORD-11653,2022-01-27,Wireless Mouse,Electronics,West,SMB,Female,55+,Online,17,28.41,0.1,434.67,244.26,190.41
ORD-10925,2022-01-28,Notebook Set,Stationery,West,Individual,Non-binary,35-44,Partner,10,11.67,0.0,116.7,78.22,38.48
ORD-11492,2022-01-29,Notebook Set,Stationery,South,Startup,Female,25-34,Partner,16,21.79,0.2,278.91,130.06,148.85
ORD-10671,2022-01-29,Notebook Set,Stationery,South,Enterprise,Female,25-34,Online,17,16.53,0.15,238.86,156.89,81.97
ORD-10191,2022-01-29,Pen Collection,Stationery,South,Individual,Non-binary,35-44,Retail,11,16.86,0.2,148.37,91.78,56.59
ORD-11584,2022-01-31,Pen Collection,Stationery,East,SMB,Male,45-54,Direct Sales,11,13.09,0.15,122.39,83.75,38.64
ORD-11733,2022-02-01,Planner 2024,Stationery,Central,Individual,Male,45-54,Partner,17,19.68,0.15,284.38,167.64,116.74
ORD-11427,2022-02-02,Notebook Set,Stationery,East,Enterprise,Female,45-54,Retail,7,16.53,0.05,109.92,61.83,48.09
ORD-10106,2022-02-02,Laptop Pro,Electronics,South,Enterprise,Female,25-34,Direct Sales,6,1359.22,0.05,7747.55,4923.02,2824.53
ORD-11061,2022-02-03,Ergonomic Pillow,Furniture,South,Enterprise,Non-binary,35-44,Direct Sales,12,67.02,0.0,804.24,482.66,321.58
ORD-11500,2022-02-03,Standing Desk,Furniture,Central,Startup,Female,25-34,Partner,3,341.28,0.05,972.65,493.94,478.71
ORD-11463,2022-02-03,Laptop Pro,Electronics,West,Enterprise,Male,35-44,Partner,17,1721.13,0.1,26333.29,16911.9,9421.39
ORD-11428,2022-02-03,Planner 2024,Stationery,South,Startup,Female,25-34,Retail,8,33.07,0.1,238.1,136.12,101.98
ORD-10571,2022-02-03,Headphones Elite,Electronics,North,Startup,Female,55+,Partner,2,184.82,0.1,332.68,215.23,117.45
ORD-11473,2022-02-05,Laptop Pro,Electronics,North,Individual,Male,18-24,Direct Sales,12,1589.23,0.15,16210.15,10332.89,5877.26
ORD-11560,2022-02-05,Standing Desk,Furniture,East,Startup,Non-binary,25-34,Retail,10,631.21,0.1,5680.89,3919.84,1761.05
ORD-11548,2022-02-06,Laptop Pro,Electronics,Central,Enterprise,Male,25-34,Partner,2,1766.31,0.0,3532.62,2049.15,1483.47
ORD-11043,2022-02-07,Laptop Pro,Electronics,North,SMB,Non-binary,55+,Partner,18,1489.3,0.15,22786.29,14615.59,8170.7
ORD-10520,2022-02-08,Monitor 27in,Electronics,West,Enterprise,Non-binary,35-44,Direct Sales,7,423.22,0.1,2666.29,1732.78,933.51
ORD-11865,2022-02-08,Notebook Set,Stationery,South,Startup,Female,25-34,Online,10,13.48,0.15,114.58,72.02,42.56
ORD-11052,2022-02-08,Wireless Mouse,Electronics,North,Startup,Non-binary,45-54,Partner,13,38.46,0.0,499.98,253.05,246.93
ORD-10013,2022-02-09,Ergonomic Pillow,Furniture,Central,Enterprise,Non-binary,35-44,Partner,4,86.45,0.1,311.22,158.68,152.54
